feature,score,note
claim,4.990535,log P(feat|spam)/P(feat|ham)
prize,4.891163,log P(feat|spam)/P(feat|ham)
tone,4.711822,log P(feat|spam)/P(feat|ham)
nokia,4.47066,log P(feat|spam)/P(feat|ham)
150p,4.44767,log P(feat|spam)/P(feat|ham)
18,4.241818,log P(feat|spam)/P(feat|ham)
16,4.212831,log P(feat|spam)/P(feat|ham)
guarante,4.152206,log P(feat|spam)/P(feat|ham)
500,4.152206,log P(feat|spam)/P(feat|ham)
cs,4.018675,log P(feat|spam)/P(feat|ham)
rington,3.982307,log P(feat|spam)/P(feat|ham)
150ppm,3.864524,log P(feat|spam)/P(feat|ham)
000,3.864524,log P(feat|spam)/P(feat|ham)
urgent,3.799986,log P(feat|spam)/P(feat|ham)
tri contact,3.777513,log P(feat|spam)/P(feat|ham)
attempt,3.730993,log P(feat|spam)/P(feat|ham)
award,3.706895,log P(feat|spam)/P(feat|ham)
mob,3.682203,log P(feat|spam)/P(feat|ham)
entri,3.630909,log P(feat|spam)/P(feat|ham)
10p,3.630909,log P(feat|spam)/P(feat|ham)
poli,3.630909,log P(feat|spam)/P(feat|ham)
800,3.576842,log P(feat|spam)/P(feat|ham)
750,3.519684,log P(feat|spam)/P(feat|ham)
1000,3.459059,log P(feat|spam)/P(feat|ham)
bonu,3.459059,log P(feat|spam)/P(feat|ham)
